id_text,text_name,version,l_no,text
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,1,i₃-a lum-lum u₃-luh-ha sud-sud
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,2,dumu-gir₁₅ giri₁₇-zal diŋir-re-e-ne
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,3,gud lipiš-tuku me₃-a gub-ba
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,4,en {d}gilgameš₂ unug{ki}-ta mi₂ dug₄-ga
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,5,unug{ki}-ga lu₂ ba-uš₂ ur₅ ba-sag₃
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,6,lu₂ u₂-gu ba-an-de₂ šag₄ hul i₃-ŋa₂-ŋa₂
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,7,bad₃-da su-ŋu₁₀ im-ma-an-la₂
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,8,lu₂ a-a ib₂-dirig-ge₄ igi im-mi-in-sig₁₀-ga-am₃
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,9,ur₅ im-ma-uš₂ šag₄ im-ma-sag₃
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,10,zag nam-til-la saŋ im-gi₄-a
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,11,irigal kur nam-gu₂-ka-ke₄ lu₂ la-ba-an-da₁₃-da₁₃-a
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,12,sud-da kur-ra la-ba-an-gib-be₂-a
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,13,daŋal-la kur-ra la-ba-an-šu₂-šu₂-a
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,14,zag ŋuruš til-la saŋ til-la-bi-še₃ la-ba-ra-ab-ed₃-de₃-a
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,15,zi ama ugu-ŋu₁₀ {d}nin-sumun₂-ka a-a-ŋu₁₀ kug {d}lugal-ban₃-da
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,16,diŋir-ŋu₁₀ {d}en-ki en {d}nu-dim₂-mud-e
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,17,me
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,18,
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,19,šub
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,20,du₃-du₃ ga-am₃-til
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,21,šub-ba ga-am₃-mi-ib-kur₉
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,22,arad-da-ni en-ki-du₁₀-e gu₃ mu-na-de₂-e
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,23,tukum-bi kur-še₃ i-in-ku₄-ku₄-de₃-en
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,24,{d}utu he₂-da-an-zu
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,25,kur-{ŋeš}erin-kud-še₃ i-in-ku₄-ku₄-de₃-en
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,26,{d}utu he₂-da-an-zu
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,27,kur-ra dim₂-ma-bi {d}utu-kam
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,28,kur-{ŋeš}erin-kud dim₂-ma-bi šul {d}utu-kam
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,29,{d}utu an-na-ke₄ suh₁₀ za-gin₃ mu-un-keše₂
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,30,saŋ il₂-la mu-un-ŋen
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,31,{d}gilgameš₂ en kul-aba{ki}-ke₄ šu-ni ŋidru kug giri₁₇-na ba-ab-tab
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,32,{d}utu kur-še₃ i-in-ku₄-ku₄-de₃-en he₂-me-en a₂-tah-ŋu₁₀
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,33,kur-erin-kud i-in-ku₄-ku₄-de₃-en he₂-me-en a₂-tah-ŋu₁₀
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,38,₁-am₃
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,39,₂-kam-ma
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,40,₃-kam-ma
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,41,₄-kam-ma
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,42,₅-kam-ma mu-un-tab-tab-e
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,43,₆-kam-ma a-ŋi₆ du₇-du₇-gin₇ kur-ra gaba ra-ra
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,44,₇-kam-ma nim-gin₇ i₃-ŋir₂-ŋir₂-re a₂-bi-še₃ lu₂ nu-ub-gur-e
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,45,e-ne-ne an-na mul-la-me-eš ki-a har-ra-an zu-me-eš
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,46,an-na mul il₂-la-me-eš
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,47,ki-a kaskal aratta{ki} zu-me-eš
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,48,dam-gar₃-ra-gin₇ ŋiri₃-bal zu-me-eš
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,49,tum₁₂{mušen}-gin₇ ab-lal kur-ra zu-me-eš
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,50,ma₂-ur₃-ma₂-ur₃ hur-saŋ-ŋa₂-ka he₂-mu-e-ni-tum₂-tum₂-mu-ne
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,51,{d}gilgameš₂ iri-ni-a zig₃-ga ba-ni-ib-ŋar
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,52,kul-aba{ki}-a si gu₃ ba-ni-in-ra
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,53,iri dam tuku dam zu-še₃ dumu tuku dumu-zu-še₃
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,54,ur-saŋ zu ur-saŋ nu-zu
c.1.8.1.5.1,Gilgameš and Huwawa (Version B),,55,dam nu-tuku dumu nu-tuku
