id_text,text_name,version,l_no,text
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,1,{d}en-lil₂ gal-di en me-te-na niŋ₂-dug₄-ga-ni zid
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,2,{d}nu-nam-nir sipad da-ri₂ kalam-ma kur gal-ta e₃-a
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,3,sa₂ gal pad₃-de₃ gu₂-gal an ki me ša-ra u₅-a
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,4,en nam-nun-na-ni-še₃ ni₂ gal im-guru₃ mul-an šu du₇-a
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,5,me ul me saŋ₅-e gal kiŋ₂-ŋa₂ dili-ni diŋir mah
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,6,en ud til₃ kur-zag til-la-še₃ uŋ₃ dub₃-us₂ dili-a tum₂
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,7,sa-par₃ mah an ki šu₂-a eš₂ kur-kur-ra la₂-a
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,8,{d}en-lil₂-da a-ba a₂ mu-da-an-aŋ₂ a-ba-ga-an-da-sa₂
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,9,gal bi₂-dug₄ šag₄-ga-ni id₂ mah a-na-am₃ de₆-a-bi
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,10,inim kug-ga-na lal₃-ŋar-ra-bi e₂-ta nam-ta-e₃
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,11,niŋ₂-bi niŋ₂ kug-ga-am₃ niŋ₂ šen-nam me e₂-kur-ra-kam
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,12,šeg₁₂ zid nam tar-ra abzu sa-dur₂-ra niŋ₂ kal-kal-la-am₃
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,13,e₂-kur lu₂ zid-de₃ i₃-du₃-e mu da-ri₂-kam
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,14,dumu lu₂ zid-da-ke₄ ŋidru mi-ni-ib₂-su₃-ra₂ {ŋeš}gu-za-bi nu-kur₂
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,15,nam-bi-še₃ e₂-kur-ra sig₇ mi-ni-ŋar {d}aš-im₂-babbar-re
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,16,a-a-ni {d}en-lil₂ inim-ma bi₂-sig₁₀ ama di-da mi-ni-in-de₆
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,17,e₂-dug₃-ga {d}nanna dumu nun-ne₂ niŋ₂ al ba-ni-dug₄
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,18,en-ne₂ a šag₄-tur-še₃ ŋal₂-la-na lu₂ zid mi-ni-u₃-tud
c.2.4.2.07,An adab to Enlil for Šulgi (Šulgi G),,19,{d}en-lil₂ sipad a₂ kalag-ga-ke₄ meš₃-e pa bi₂-e₃
