Alignment not found |  ,  | Line no.  1
Alignment not found |  ,  | Line no.  1
Alignment not found |  ;  | Line no.  3
Alignment not found |  of  | Line no.  4
Alignment not found |  ,  | Line no.  4
Alignment not found |  ”  | Line no.  4
Alignment not found |  ,  | Line no.  6
Alignment not found |  ,  | Line no.  7
Alignment not found |  Ur-e  | Line no.  8
Alignment not found |  ’  | Line no.  8
Alignment not found |  e  | Line no.  8
Alignment not found |  ,  | Line no.  10
Alignment not found |  ,  | Line no.  11
Alignment not found |  Inta  | Line no.  12
Alignment not found |  ’  | Line no.  12
Alignment not found |  e  | Line no.  12
Alignment not found |  ’  | Line no.  12
Alignment not found |  a  | Line no.  12
Alignment not found |  ,  | Line no.  14
Alignment not found |  ”  | Line no.  14
Alignment not found |  ;  | Line no.  15
Alignment not found |  ”  | Line no.  15
Alignment not found |  .  | Line no.  16
Alignment not found |  man/king  | Line no.  17
Alignment not found |  ,  | Line no.  17
Alignment not found |  and  | Line no.  19
Alignment not found |  ,  | Line no.  19
Alignment not found |  ,  | Line no.  20
Alignment not found |  Nanna  | Line no.  21
Alignment not found |  's  | Line no.  21
Alignment not found |  ,  | Line no.  21
Alignment not found |  .  | Line no.  22
Alignment not found |  ,  | Line no.  24
Alignment not found |  of  | Line no.  24
Alignment not found |  ,  | Line no.  24
Alignment not found |  manager  | Line no.  24
Alignment not found |  of  | Line no.  24
Alignment not found |  ,  | Line no.  24
Alignment not found |  .  | Line no.  25
Alignment not found |  For  | Line no.  26
Alignment not found |  ,  | Line no.  26
Alignment not found |  his  | Line no.  27
Alignment not found |  ,  | Line no.  27
Alignment not found |  ,  | Line no.  28
Alignment not found |  the  | Line no.  29
Alignment not found |  ,  | Line no.  29
Alignment not found |  the  | Line no.  30
Alignment not found |  ,  | Line no.  32
Alignment not found |  the  | Line no.  33
Alignment not found |  and  | Line no.  35
Alignment not found |  ,  | Line no.  35
Alignment not found |  ,  | Line no.  38
Alignment not found |  ,  | Line no.  38
Alignment not found |  .  | Line no.  39
Alignment not found |  .  | Line no.  40
Alignment not found |  Pa  | Line no.  41
Alignment not found |  ’  | Line no.  41
Alignment not found |  ue  | Line no.  41
Alignment not found |  ,  | Line no.  41
Alignment not found |  ”  | Line no.  41
Alignment not found |  ,  | Line no.  43
Alignment not found |  ,  | Line no.  44
Alignment not found |  Ur-E  | Line no.  45
Alignment not found |  ’  | Line no.  45
Alignment not found |  e  | Line no.  45
Alignment not found |  ,  | Line no.  45
Alignment not found |  .  | Line no.  45
Alignment not found |  For  | Line no.  54
Alignment not found |  ,  | Line no.  54
Alignment not found |  ,  | Line no.  55
Alignment not found |  ,  | Line no.  56
Alignment not found |  of  | Line no.  58
Alignment not found |  ,  | Line no.  58
Alignment not found |  the  | Line no.  59
Alignment not found |  and  | Line no.  61
Alignment not found |  ,  | Line no.  61
Alignment not found |  ,  | Line no.  62
Alignment not found |  ,  | Line no.  63
Alignment not found |  the  | Line no.  64
Alignment not found |  and  | Line no.  65
Alignment not found |  ,  | Line no.  65
Alignment not found |  for  | Line no.  66
Alignment not found |  him  | Line no.  66
Alignment not found |  .  | Line no.  66
Alignment not found |  ,  | Line no.  67
Alignment not found |  .  | Line no.  70
Alignment not found |  ”  | Line no.  70
Alignment not found |  of  | Line no.  72
Alignment not found |  and  | Line no.  74
Alignment not found |  ;  | Line no.  74
Alignment not found |  ;  | Line no.  75
Alignment not found |  of  | Line no.  76
Alignment not found |  ,  | Line no.  78
Alignment not found |  House  | Line no.  78
label .01 or .02 does not exist for the predicate. 78
Alignment not found |  of  | Line no.  78
Alignment not found |  ;  | Line no.  78
Alignment not found |  the  | Line no.  79
Alignment not found |  ,  | Line no.  80
Alignment not found |  ;  | Line no.  80
Alignment not found |  ,  | Line no.  81
Alignment not found |  for  | Line no.  83
Alignment not found |  ;  | Line no.  83
Alignment not found |  for  | Line no.  84
Alignment not found |  of  | Line no.  84
Alignment not found |  ;  | Line no.  84
Alignment not found |  for  | Line no.  85
Alignment not found |  ;  | Line no.  85
Alignment not found |  ,  | Line no.  86
Alignment not found |  ,  | Line no.  86
Alignment not found |  of  | Line no.  87
Alignment not found |  the  | Line no.  87
Alignment not found |  ,  | Line no.  87
Alignment not found |  ,  | Line no.  87
Alignment not found |  “  | Line no.  88
Alignment not found |  ”  | Line no.  88
Alignment not found |  ,  | Line no.  88
Alignment not found |  ;  | Line no.  89
