3 mac bauc ||| 3 billy goat , slaughtered ,
ki kuganita ||| from Kugani
kicib lukala ||| under seal of Lukalla ;
iti ezemamarsuen ||| month : “ Festival of Amar-Suen , ”
mu huhnuri bahul ||| year : “ Ḫuḫnuri was destroyed . ”
lukala ||| Lukalla ,
dubsar ||| scribe ,
dumu ure ||| son of Ur-e’e
3 sila ||| 3 lambs
u 3kam ||| 4 day ,
ki abasagata ||| from Abbasaga ,
intaea ||| Inta’e’a
idab ||| accepted ;
iti kisikininazu ||| month : “ ki-siki of Ninazu , ”
mu cacru bahul ||| year : “ Šašru was destroyed ; ”
3 ||| 3 .
lugal kalga ||| the strong man/king ,
lugal urima ||| king of Ur
lugal an ubda limmubake ||| and king of the four world quarters ,
n mana ||| 3 minas ,
ekiciba nanna gara ||| Nanna's Established Sealed-items Storeroom ,
munagin ||| he standardized for him .
pisanduba ||| Basket-of-tablets
kicib laia lugalukkene nubandagu ||| sealed documents , debts of Lugal-ukkene , manager of oxen ,
igal ||| are here .
anunitum ||| For Annunītum ,
damanir ||| his spouse ,
cusuen ||| Šū-Sîn ,
kiag enlila ||| the beloved of Enlil ,
lugal enlile ||| the king whom Enlil
kiag cagana ||| as beloved in his heart
inpa ||| did choose ,
lugal kalga ||| the strong king ,
lugal urima ||| king of Ur
lugal an ubda limmubake ||| and king of the four world quarters ,
eani ||| her temple
munadu ||| he built for her .
3 udunita bargal bauc  ||| 3 male sheep with fleece , slaughtered ,
ki lututa  ||| from Lu-Utu .
kicib lukala  ||| under seal of Lukalla .
iti paue  ||| month “ Pa’ue , ”
mu huhnuri bahul  ||| year : “ Ḫuḫnuri was destroyed . ”
lukala  ||| Lukalla ,
dubsar  ||| scribe ,
dumu ure cuc  ||| son of Ur-E’e , chief livestock administrator .
pisanduba ||| Basket-of-tablets
kicib daba a erinaka ||| xxx
urmes nubandagu ||| xxx
iti 3kam ||| xxx
igal ||| xxx
iti sigicubagarata ||| xxx
iti dumuzice ||| xxx
mu cusuen lugale mada zabcali muhul ||| xxx
nindara ||| For Nindara ,
lugal uru ||| the powerful king ,
lugalanir ||| his master ,
namti ||| for the life
ibisuen ||| of Ibbi-Sîn ,
lugal kalga ||| the mighty king ,
lugal urima ||| king of Ur
lugal an ubda limmubakace ||| and king of the four world quarters ,
urningirsu ||| Ur-Ningirsu ,
enmeziana ||| Enmeziana ,
cennu ||| the šennu-priest
en kiag nanceke ||| and the en-priest of Nanše ,
munadim ||| fashioned  for him .
3 udu ||| 3 sheep ,
ki abasagata ||| from Abbasaga
ahuwaqar idab ||| Aḫu-waqar accepted ;
iti sesdagu ||| month : “ Piglets feast . ”
3 udu niga X ||| 3 sheep , barley-fed , … ,
3 macgal niga nkam us ||| 3 buck , barley-fed , of 3 grade ,
3 udu niga ||| 3 sheep , barley-fed ,
enlil ninlil ||| for Enlil and Ninlil ;
3 udu niga nanna ||| 3 sheep , barley-fed , for Nanna ;
3 udu niga saga us ||| 3 sheep , barley-fed , of 4 grade ,
3 udu niga ||| 3 sheep , barley-fed ,
siskur ki suen eusakar ||| siskur-offering with Suen , House of Crescent ;
3 udu niga siskur inanna ca egal ||| 3 sheep , barley-fed , siskur-offering for Inanna in the palace ,
babancen mackim ||| Babanšen , responsible official ;
X udu ||| … sheep ,
X ||| …
X marhuni lu harci ||| … for Marḫuni from Ḫarši ;
3 udu niga ahabatal lu hibilat ||| 3 sheep , barley-fed , for Aḫab-atal , man of Ḫibilat ;
3 macgal niga ilidagan lu ebla ||| 3 buck , barley-fed , for Ilī-Dagan from Ebla ;
urcarugin sukkal mackim ||| Ur-šarrugin , the messenger , responsible official
iti u 3 la 3 bazal ||| of the month , day 3 elapsed ,
ziga ca tumal ||| “ booked-outs ” in Tummal ,
ki endingirmu ||| from En-dingirmu ;
iti cueca ||| month : “ Šu’eša , ”
mu cacrum bahul ||| year : “ Šašrum was destroyed ; ”
3 la 3 ||| 3 .
pisanduba ||| Basket-of-tablets
i ekicibata ea ||| xxx
cu tia ||| xxx
gatie ||| xxx
mu usa badgal badu mu usabi ||| xxx
lugalemahe ||| Lugal-emaḫe ,
dubsar ||| scribe ,
dumu lugalkugani ||| son of Lugal-kugani .
cusuen ||| Šū-Suen ,
lugal kalga ||| strong king ,
lugal urima ||| king of Ur ,
lugal an ubda limmuba ||| king of the four corners
dubsar ||| scribe ,
ARADzu ||| is your servant .
3 ce ||| 3 barig , 3 ban2 of barley .
cagal udu niga ||| fodder for grain-fed sheep ,
ki gududuta ||| from Gududu ,
kicib urmami ||| under seal of Ur Mami ,
giri gina ||| via Gina
iti X ||| month : “ … , ”
mu simurum bahul ||| year : “ Simurrum was destroyed ; ”
urmami ||| Ur-Mami ,
dumu inimcara ||| son of Inim-Šara ,
kurucda caraka ||| animal fattener of Šara .
3 GAN absinbi 3 ninda 3ta igal ||| 3 bur3 surface area , their furrows : per 3 ninda 3 each being ;
3 GAN 3 la 3ta ||| 3 eše3 3 iku surface area , 3 less 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca durbartab ||| field Hillock-Urbartab ;
3 GAN 3ta ||| 3 eše3 3 iku surface area , 3 each ;
3 GAN 3 la 3ta ||| 3 bur3 surface area , 3 less 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca ka3 GAN durbartab ||| field ka-bur'u of Du-Urbartab ;
ceckala engar ||| Šeškalla , the plowman ;
3 GAN 3ta ||| 3 eše3 surface area , 3 each ;
3 GAN 3ta ||| 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca akicah ||| field Aki-šaḫ ;
3 GAN 3ta ||| 3 bur3 surface area at 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
3 GAN 3ta ||| 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 bur 3 ban2 ,
aca zalagagectin ||| field Zalga-ageštin ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur 3 barig ,
aca za3 ||| field Za-nēr ;
urabzu engar ||| Ur-Abzu , the plowman ;
3 GAN 3ta ||| 3 bur3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca akicah ||| field Akišaḫ ;
3 GAN 3 la 3ta ||| 3 bur3 3 iku surface area , 3 less 3 each ;
3 GAN 3ta ||| 3 bur3 surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
zizbi 3 gur ||| its emmer : 3 gur 3 barig ,
gigbi 3 sila ||| its wheat : 3 barig 3 ban2 3 sila3 ,
aca latur ||| field Latur ;
lugalmagure engar ||| Lugal-magure , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ;
3 GAN 3 la 3ta ||| 3 bur3 3 eše3 surface area , 3 less 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca icum ||| field Išum ;
3 GAN 3ta ||| 3 eše3 3 iku surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca lugal ||| field King ;
3 GAN 3ta ||| 3 bur3 surface area , 3 each ;
cebi 3 gur ||| its barley : 3 gur ,
aca za3 ||| field Za-nēr ;
caramutum engar ||| Šara-mutum , the plowman ;
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ,
3 GAN 3ta ||| 3 bur3 3 eše3 3 iku surface area , 3 each ,
cebi 3 gur ||| its barley : 3 gur ,
aca giapinkura ||| field Gi-apin-kuřa ;
