id_text	text_name	version	l_no	text
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		1-4	So come on now, you heroic bearer of a sceptre of wide-ranging power! Noble glory of the gods, angry bull standing ready for a fight! Young Lord Gilgameš, cherished in Unug!
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		5-21	In Unug people are dying, and souls are full of distress. People are lost -- that fills me with dismay. I lean out over the city wall: bodies in the water make the river almost overflow. That is what I see: that people die thus, which fills me with despair; that the end of life is unavoidable; that the grave, the all-powerful underworld, will spare no one; that no one is tall enough to block off the underworld; that no one is broad enough to cover over the underworld -- the boundary that a man cannot cross at the final end of life. By the life of my own mother Ninsumun, and of my father, holy Lugalbanda! My personal god Enki, Lord Nudimmud,  I will complete XX there. I will bring XX there.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		22-28	His slave Enkidu answered him: XX if you want to set off into the mountains, Utu should know about it from you. If you want to set off into the Mountains of Cedar-felling, Utu should know about it from you. A decision that concerns the mountains is Utu's business. A decision that concerns the Mountains of Cedar-felling is the business of youthful Utu.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		29-33	Utu of heaven put on his lapis-lazuli diadem and came forward with head high. In his hand Gilgameš, the lord of Kulaba, held a holy staff before his nose: Utu, I want to set off into the mountains! May you be my helper! I want to set off into the mountains of Cedar-felling! May you be my helper!
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		34-50	The first XX. The second XX. The third XX. The fourth XX. The fifth XX. The sixth beats at the flanks of the mountains like a battering flood. The seventh flashes like lightning, and no one can deflect its power. These shine in the heavens, but they know the routes on earth. In heaven they shine XX, raising XX; on earth they know the way even to Aratta. They know the destructive weather like the merchants. They know the mountain crannies like the pigeons. They will guide you to the place in the mountains where the boats have to be pulled from the water.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		51-56	Gilgameš organised a levy in his city. In XX Kulaba he had the horn sounded. Citizens! You who have a wife, go to your wife! You who have children, go to your children! Warriors, whether experienced or inexperienced, who have no wife, who have no children -- let such people join me at my side as the companions of Gilgameš.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		57-66	The king left the city. Gilgameš left Kulaba, to follow the route to the Mountains of Cedar-felling. He crossed the first mountain range, but his intuition did not lead him to find the cedars there. He crossed the second mountain range, but his intuition did not lead him to find the cedars there. He crossed the third mountain range, but his intuition did not lead him to find the cedars there. He crossed the fourth mountain range, but his intuition did not lead him to find the cedars there. He crossed the fifth mountain range, but his intuition did not lead him to find the cedars there. He crossed the sixth mountain range, but his intuition did not lead him to find the cedars there. When he had crossed the seventh mountain range, there his intuition led him to find the cedars.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		67-70	Gilgameš began to chop at the cedars. His slave Enkidu worked on the branches for him. His fellow-citizens who had come with him stacked them in piles.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		71-77	Then, as one warrior got closer to the other, the aura of Huwawa XX sped towards them like a spear (?). XX he rested there peacefully. He was asleep (?) XX.
t.1.8.1.5.1	Gilgameš and Huwawa (Version B)		78-82	XX addressed (?) XX: You who have gone to sleep, you who have gone to sleep XX! Young Lord Gilgameš, how long will you sleep for? The mountains are becoming indistinct as the shadows fall across them; the evening XX.
