id_text	text_name	version	l_no	text
t.1.8.2.4	Enmerkar and En-suhgir-ana		A1-5	Brickwork rising out  from the pristine mountain  on the edge of ms. C: of the shining plain  -- Kulaba, city which reaches from heaven to earth; Unug, whose fame like the rainbow reaches up to the sky, a multicoloured sheen, as the new moon standing in the heavens.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A6-13	Built in magnificence with all the great powers, lustrous mount founded on a favourable day, like moonlight coming up over the land, like bright sunlight radiating over the land, the rear cow and XX cow coming forth in abundance: all this is Unug, the glory of which reaches the highland and its radiance, genuine refined silver, covers Aratta like a garment, is spread over it like linen.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A14-24	At that time the day was lord, the night was sovereign, and Utu was king. Now the name of the lord of Aratta's minister was minister Ansiga-ria. The name of the minister of Enmerkar, the lord of Kulaba, was Namena-tuma. He with the XX lord, he with the XX prince; he with the XX lord, he with the XX prince; he with the XX lord, he with the XX prince; he with the man born to be a god; he with a man manifest as a god, with the lord of Unug, the lord of Kulaba -- En-suhgir-ana, the lord of Aratta, is to make a contest with him, saying first to the messenger concerning Unug:
t.1.8.2.4	Enmerkar and En-suhgir-ana		A25-39	Let him submit to me, let him bear my yoke. If he submits to me, indeed submits to me, then as for him and me -- he may dwell with Inana within a walled enclosure (?), but I dwell with Inana in the E-zagin of Aratta; he may lie with her on the splendid bed, but I lie in sweet slumber with her on the adorned bed, he may see dreams with Inana at night, but I converse with Inana awake. He may feed the geese with barley, but I will definitely not feed the geese with barley. I will XX the geese's eggs in a basket and XX their goslings. The small ones into my pot, the large ones into my kettle, and the rulers of the land who submitted will consume, together with me, what remains from the geese. This is what he said to Enmerkar.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A40-51	The messenger runs like a wild ram and flies like a falcon. He leaves in the morning and returns already at dusk, like small birds at dawn, he XX over the open country, like small birds at midnight, he hides himself in the interior of the mountains. Like a throw-stick, he stands at the side. Like a solitary donkey of Šakkan, he  runs over  1 ms. has instead: cuts through  the mountains, he dashes like a large, powerful donkey. A slim donkey, eager to run, he rushes forth. A lion in the field at dawn, he lets out roars; like a wolf which has seized a lamb, he runs quickly. The small places he has reached, he fills with XX for him; the large places he has reached, he XX boundary (?).
t.1.8.2.4	Enmerkar and En-suhgir-ana		A52-69	He entered the presence of the lord in  his holy ŋipar  1 ms. has instead: in his most holy place . 1 ms. adds 1 line: He entered the presence of Enmerkar in his most holy place.  My king has sent me to you. The lord of Aratta, En-suhgir-ana, has sent me to you.  some mss. add the lines: What does your king have to tell me, what does he have to add to me? What does En-suhgir-ana have to tell me, what does he have to add to me? This is what my king said, what he added, this is what En-suhgir-ana said, what he added.  This is what my king says: Let him submit to me, let him bear my yoke. If he submits to me, indeed submits to me, then as for him and me -- he may dwell with Inana within a walled enclosure (?), but I dwell with Inana in the E-zagin of Aratta; he may lie with her on the splendid bed, but I lie in sweet slumber with her on the adorned bed, he may see dreams with Inana at night, but I converse with Inana awake. He may feed the geese with barley, but I will definitely not feed the geese with barley. I will XX the geese's eggs in a basket and XX their goslings. The small ones into my pot, the large ones into my kettle, and the rulers of the land who submitted will consume, together with me, what remains from the geese.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A70-76	The lord of Unug XX he is their XX, he is their rudder. XX he is the neck-stock which clamps down upon them, XX to the place of its foundation. He is their falcon which flies in the sky, he is their bird-net. The brickwork of the great temple of Aratta XX. XX in Aratta XX great XX. XX bring (?) XX.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A77-113	He patted it like a lump of clay, he examined it like a clay-tablet: He may dwell with Inana in the E-zagin of Aratta, but I dwell with her XX as her earthly companion (?). He may lie with her in sweet slumber on the adorned bed, but I lie on Inana's splendid bed strewn with pure plants. Its back is an ug lion, its front is a piriŋ lion. The ug lion chases the piriŋ lion, the piriŋ lion chases the ug lion. As the ug lion chases the piriŋ lion and the piriŋ lion chases the ug lion, the day does not dawn, the night does not pass. I accompany Inana for a journey of 15 leagues and yet Utu the sun god cannot see my holy crown, when she enters my holy ŋipar. Enlil has given (?) me the true crown and sceptre. Ninurta, the son of Enlil, held me on his lap as the frame holds the waterskin. Aruru, the sister of Enlil, extended her right breast to me, extended her left breast to me. When I go up to the great shrine, the Mistress screeches like an Anzud chick, and other times when I go there, even though she is not a duckling, she shrieks like one. She XX from the city of her birth. No city was made to be so well-built as the city of Unug (?). It is Unug where Inana dwells and as regards Aratta, what does it have to do with this? It is brick-built Kulaba where she lives, and as regards the mount of the lustrous me, what can it do about this? For five or 10 years she will definitely not go to Aratta. Since the great holy lady of the E-ana took counsel with me (?) about whether to go also to Aratta, since she  let me know  1 ms. has instead: told me  about this matter, I know that she will not go to Aratta. He who has nothing shall not feed the geese with barley, but I will feed the geese with barley. I will XX the geese's eggs in a basket and XX their goslings. The small ones into my pot, the old ones into my kettle, and the rulers  of the Land  some mss. has instead: of Sumer  who submitted will consume, together with me, what remains from the geese.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A114-127	The messenger of Enmerkar reached En-suhgir-ana, reached his holy ŋipar, his most holy place, the most holy place where he was sitting, its XX. En-suhgir-ana asked for instructions, he searched for an answer. He summoned the išib priests, the lumah priests, the gudug priests, and girsiga attendants who dwell in the ŋipar and took counsel with them. What shall I say to him? What shall I say to him? What shall I say to the lord of Unug, the lord of Kulaba? His bull stood up to fight my bull and the bull of Unug has defeated it. His man has been struggling with my man and the man of Unug has defeated him. His warrior (?) has been struggling with my warrior (?) and the warrior (?) of Unug XX him.
t.1.8.2.4	Enmerkar and En-suhgir-ana		A128-134	The convened assembly answered him straightforwardly: It was you who first sent a boastful (?) message to Unug for Enmerkar. You cannot hold back (?) Enmerkar, you have to hold back (?) yourself. Calm down; your heart will prompt you to achieve nothing, as far as can be known (?). If my city becomes a ruin mound, then I will be a potsherd of it, but I will never submit to the lord of Unug, the lord of Kulaba.
